OBJECTID,2010 Census Block Group ID,Registrants,Total Damaged (any type),Registrants w/o Inspection,Damaged w/o Flooding,Basement Flooded up to 2 Feet,Basement Flooded 2 Feet or More,First Floor Flooded up to 1 Foot,First Floor Flooded 1 to 4 Feet,Living Space Flooded 4 Feet or More,Damaged Owners Single Family,Damaged Owners Multifamily,Damaged Owners Missing Building Type,Damaged Single Family,Damaged Multifamily,Damaged Renters Missing Building Type,Uninsured Owners with Damage,Insured Owners with Damage,Total Housing Units,Seasonal Housing Units,Percent Non-Seasonal Damaged,Shape__Area,Shape__Length
254,340130120002,116,21,95,14,6,0,1,0,0,17,0,0,2,2,0,9,8,377,0,5.6,250969.32421875,2198.75331923895
255,340130120005,92,10,82,8,2,0,0,0,0,6,0,0,3,1,0,3,3,447,0,2.2,237361.3046875,2920.16570419589
256,340130121002,119,16,103,10,6,0,0,0,0,14,0,0,2,0,0,6,8,514,0,3.1,188143.99609375,1747.67408738745
257,340170103003,85,13,72,9,3,0,1,0,0,6,0,0,3,4,0,5,1,502,1,2.6,207633.140625,1978.28485778355
258,340390346002,137,18,119,16,1,1,0,0,0,16,0,0,1,1,0,4,12,622,1,2.9,584091.27734375,3265.11884809846
259,340390342002,63,10,53,4,5,0,1,0,0,9,0,0,1,0,0,5,4,365,0,2.7,657688.04296875,3949.84629266471
260,340390328004,70,10,60,5,4,1,0,0,0,4,0,0,6,0,0,3,1,301,0,3.3,280508.015625,2388.01809160973
261,340390324005,104,20,84,18,1,0,1,0,0,16,0,0,2,2,0,4,12,525,0,3.8,674582.1328125,5285.78548146425
262,340390322003,110,16,94,12,4,0,0,0,0,16,0,0,0,0,0,8,8,396,1,4.1,284778.15625,3102.04814982286
263,340390346003,117,18,99,10,6,0,2,0,0,14,0,0,4,0,0,4,10,482,1,3.7,396830.4375,2563.02426261035
264,340390309003,84,24,60,6,6,10,0,1,1,17,1,0,6,0,0,11,7,422,1,5.7,224706.140625,1914.86795624005
265,340390352001,90,23,67,5,14,4,0,0,0,21,0,0,1,1,0,17,4,598,2,3.9,774156.0390625,3824.72504824865
266,340390332002,72,13,59,12,1,0,0,0,0,13,0,0,0,0,0,3,10,719,2,1.8,1650420.61328125,6435.95448259321
267,340390353004,77,13,64,1,10,2,0,0,0,11,0,0,2,0,0,10,1,701,4,1.9,702525.37890625,3451.86391342938
268,340390341002,71,19,52,15,4,0,0,0,0,19,0,0,0,0,0,7,12,279,0,6.8,389946.15625,2804.03172416761
269,340390360001,144,31,113,2,9,11,5,4,0,23,0,0,6,2,0,20,3,780,0,4,561744.33984375,4056.33230112818
270,340390324006,161,17,144,11,6,0,0,0,0,16,0,0,1,0,0,7,9,681,0,2.5,1034188.03515625,5192.92676492649
271,340130127003,140,18,122,8,9,1,0,0,0,12,1,0,5,0,0,7,6,605,0,3,296763.03515625,2476.54663313585
272,340390318013,93,18,75,17,1,0,0,0,0,14,1,0,1,2,0,4,11,385,0,4.7,194565.87890625,1858.16172295741
273,340390345001,41,12,29,7,5,0,0,0,0,11,0,0,1,0,0,4,7,385,2,3.1,439234.359375,2887.18978408679
274,340390340003,150,18,132,13,4,1,0,0,0,17,0,0,1,0,0,5,12,928,1,1.9,824479.984375,4922.71624247337
275,340390325005,58,11,47,9,2,0,0,0,0,11,0,0,0,0,0,3,8,361,2,3.1,314429.90234375,2453.81002578458
276,340390324004,80,13,67,10,3,0,0,0,0,12,0,0,1,0,0,5,7,431,1,3,477222.71484375,3951.32185195528
277,340390337002,53,13,40,12,1,0,0,0,0,13,0,0,0,0,0,2,11,489,2,2.7,620919.1171875,3118.8357254238
278,340390306001,126,32,94,5,13,6,3,4,1,17,0,0,9,6,0,11,6,748,0,4.3,2778346.3671875,10413.0065311955
